Title,Cleaned Title,Current Price,Original Price,Size,Current Date,Original Date,Image Link,Listing Link,Category,Relative Date,Day
AW97’-98’ 20471120 “Double Sex” 9-Pockets Denim Pant,aw9798 20471120 double sex 9pockets denim pant,170,170,34,Sold 22 days ago,Sold 22 days ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/h73lFnJSQleVFtSnroMD",/listings/44128579-20471120-aw97-98-20471120-double-sex-9-pockets-denim-pant?g_aidx=Listing_sold_production&g_aqid=bff6580c48ee84135e89ea48242a61dd,Bottoms,2023-06-12 23:40:07.107669,12
Rare ‼️ 20471120 Gold Printed Shirt,rare  20471120 gold printed shirt,200,200,xs,Sold about 1 month ago,Sold about 1 month ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/EHOdEVVmQeaz9zZ8bsTO",/listings/36914981-20471120-x-beauty-beast-rare-20471120-gold-printed-shirt?g_aidx=Listing_sold_production&g_aqid=2545a3171785099630350324bc74eb0e,Tops,2023-06-04 23:40:07.107669,4
20471120 tribal longsleeve,20471120 tribal longsleeve,97,97,m,Sold about 2 months ago,Sold about 2 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/EHOdEVVmQeaz9zZ8bsTO",/listings/40287410-20471120-20471120-tribal-longsleeve?g_aidx=Listing_sold_production&g_aqid=2545a3171785099630350324bc74eb0e,Tops,2023-05-05 23:40:07.107669,5
Vintage 20471120 HYOMA Japan Black Sweatshirt,vintage 20471120 hyoma japan black sweatshirt,115,115,s,Sold about 2 months ago,Sold about 2 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/7GbnYBiAQjuQPq2U7BkI",/listings/40185924-vintage-vintage-20471120-hyoma-japan-black-sweatshirt?g_aidx=Listing_sold_production&g_aqid=2545a3171785099630350324bc74eb0e,Tops,2023-05-05 23:40:07.107669,5
20471120 Hyoma Denim trucker vest,20471120 hyoma denim trucker vest,135,135,m,Sold about 2 months ago,Sold about 2 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/NWRa78ySaCrBUIXrzLxg",/listings/35346903-20471120-20471120-hyoma-denim-trucker-vest?g_aidx=Listing_sold_production&g_aqid=b531c8dc2dc8b2c27610b4a93d083f67,Tops,2023-05-05 23:40:07.107669,5
20471120 “Ski Boot” Black,20471120 ski boot black,445,445,9.5,Sold 2 months ago,Sold 2 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/NWRa78ySaCrBUIXrzLxg",/listings/43779018-20471120-x-japanese-brand-x-vintage-20471120-ski-boot-black?g_aidx=Listing_sold_production&g_aqid=b531c8dc2dc8b2c27610b4a93d083f67,Shoes,2023-05-05 23:40:07.107669,5
Hyoma 20471120 Double Sex Jeans,hyoma 20471120 double sex jeans,135,135,30,Sold 2 months ago,Sold 2 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/YiELdYRJTiWeDCq6Zeuw",/listings/43826667-20471120-hyoma-20471120-double-sex-jeans?g_aidx=Listing_sold_production&g_aqid=29ef0d04e6740ac19b2478a420386ded,Bottoms,2023-05-05 23:40:07.107669,5
20471120 HYOMA 90s Beige Mascot Hoodie,20471120 hyoma 90s beige mascot hoodie,224,224,m,Sold 3 months ago,Sold 3 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/JRvm6Zm9RlGRthttzKnq",/listings/40678551-20471120-20471120-hyoma-90s-beige-mascot-hoodie?g_aidx=Listing_sold_production&g_aqid=2a4330cdbe0d00da38dab7c452f64145,Outerwear,2023-04-05 23:40:07.107669,5
20471120 Double sex Denim,20471120 double sex denim,120,120,30,Sold 3 months ago,Sold 3 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/JRvm6Zm9RlGRthttzKnq",/listings/42241517-20471120-20471120-double-sex-denim?g_aidx=Listing_sold_production&g_aqid=2a4330cdbe0d00da38dab7c452f64145,Bottoms,2023-04-05 23:40:07.107669,5
20471120 A/W 2000 “Recycouture” T Shirt,20471120 aw 2000 recycouture t shirt,180,180,s,Sold 3 months ago,Sold 3 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/JRvm6Zm9RlGRthttzKnq",/listings/39838486-20471120-x-beauty-beast-20471120-a-w-2000-recycouture-t-shirt?g_aidx=Listing_sold_production&g_aqid=2a4330cdbe0d00da38dab7c452f64145,Tops,2023-04-05 23:40:07.107669,5
20471120 Pins / Badges,20471120 pins  badges,64,64,os,Sold 4 months ago,Sold 4 months ago,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/auto_image/cache=expiry:max/rotate=deg:exif/resize=height:320,width:240,fit:crop/output=quality:70/no_metadata/compress/N58dYmV4Rw2TIKz11H3P",/listings/39068144-20471120-20471120-pins-badges?g_aidx=Listing_sold_production&g_aqid=9d295f87677aa4342f508a8df78d0379,Accessories,2023-03-06 23:40:07.107669,6
